"latitude","longitude","country","country_code","year","value","score","gdp","support","life_expectancy","freedom","trust","generosity"
-16.290154,-63.588653,"Bolivia","BOL",2017,44.6,5.82299995422363,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,"0.22556072473526",0.0604777261614799
-14.235004,-51.92528,"Brazil","BRA",2017,53.3,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,"0.16234989464283",0.111092761158943
27.514162,90.433601,"Bhutan","BTN",2017,37.4,5.01100015640259,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,"0.474054545164108",0.173380389809608
53.709807,27.953389,"Belarus","BLR",2017,25.4,5.56899976730347,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,"0.15513750910759",0.156313821673393
56.130366,-106.346771,"Canada","CAN",2017,33.3,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,"0.435539722442627",0.287371516227722
46.818188,8.227512,"Switzerland","CHE",2017,32.7,7.49399995803833,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,"0.290549278259277",0.367007285356522
-35.675147,-71.542969,"Chile","CHL",2017,44.4,6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,"0.326662421226501",0.0822879821062088
35.86166,104.195397,"China","CHN",2017,39.1,5.27299976348877,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,"0.0288068410009146",0.0227942746132612
4.570868,-74.297333,"Colombia","COL",2017,49.7,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,"0.149014472961426",0.0466687418520451
9.748917,-83.753428,"Costa Rica","CRI",2017,48.3,7.0789999961853,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,"0.214613229036331",0.100106589496136
35.126413,33.429859,"Cyprus","CYP",2017,31.4,5.62099981307983,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,"0.271254301071167",0.0412379764020443
51.165691,10.451526,"Germany","DEU",2017,31.2,6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,"0.336269170045853",0.276731938123703
56.26392,9.501785,"Denmark","DNK",2017,28.7,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,"0.355280488729477",0.40077006816864
18.735693,-70.162651,"Dominican Republic","DOM",2017,42.2,5.23000001907349,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,"0.186967849731445",0.113945253193378
-1.831239,-78.183406,"Ecuador","ECU",2017,44.7,6.00799989700317,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,"0.150112465023994",0.140134647488594
58.595272,25.013607,"Estonia","EST",2017,30.4,5.61100006103516,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,"0.0988908112049103",0.183248922228813
40.463667,-3.74922,"Spain","ESP",2017,34.7,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,"0.190133571624756",0.0709140971302986
